,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
0,,,,,,,,,,,
1,20011679,,dc,nintendo co ltd adr (ntdoy) [st] filing status: new subholding of: charles schwab investment account - dc3,p,05/01/2019,,"$1,001 - $15,000",,st,ntdoy
2,20012722,,jt,"don beyer motors inc. [oi] filing status: new subholding of: dealerships, auto repair, and demosphere description: sale of my 38%% interestin don beyer motors inc, dba don beyer volvo an llc, as part of an equity purchase agreement, dated september 30, 2019.",s,10/07/2019,,"$1,000,001 - $5,000,000 d beyer kia, to beyer",,,
3,20012722,,,"filing status: new subholding of: dealerships, auto repa description: this llc had a negative capital account. i made up my cap my ownership to beyer holdings llc as part of an equity purchase agreement, dated sep","ir,",re,,"ence to zero, and tran tember 30, 2019",,,
4,20012722,,jt,"gum springs llc [oi] filing status: new subholding of: dealerships, auto repair, and demosphe description: sale of my 33% interest ingum springs llcre purchase agreement, dated september30, 2019., dba beyer subaru, to beyer ho",s,10/07/2019,,"$1,000,001 - $5,000,000 ldings, llc, as part o",,,
5,20012722,,jt,pirate motors llc [oi],s,10/07/2019,,"$50,001 - $100,000",,,
6,20012722,,,"filing status: new subholding of: dealerships, auto repa description: sale of my wife's 1% intere prospect hill llc, gum springs llc, ast in pirate motors llc, which o agreement, dated september 30, 2019.nd forbidden fruit llc, to beyer holdings llc, a","ir,",re,,the great experimen s part of an equity pu,,,
7,20012722,,jt,"prospect hill llc [oi] filing status: new subholding of: dealerships, auto repair, and demosphere description: sale of my 33% interest inprospect hill, llc, dba don bey an equity purchase agreement, dated september 30, 2019.er volvo - dulles,",s,10/07/2019,,"$1,000,001 - $5,000,000 to beyer holdings, l",,,
8,20012722,,,"filing status: new subholding of: dealerships, auto repa description: this llc had a negative c the seven dealership companies, this bapital account, 50% of which was llc was closed.alance was transferred to don beyer motors inc. as","ir,",re,,. as part of a reorgan a receivable from me,,,
9,20012722,,jt,"smokey's garage llc [oi] filing status: new subholding of: dealerships, auto repair, and demosphere description: this llc had a negative capital account. i made up my capital account differ my ownership to beyer holdings llc as part of an equity purchase agreement, dated sep",s,10/07/2019,,"$1,001 - $15,000 ence to zero, and tran tember 30, 2019",,,
10,20012722,,,"filing status: new subholding of: dealerships, auto repa description: sale of my 33% interest inthe great experiment, llc, db part of an equity purchase agreement,dated september30, 2019.","ir,",re,,"andria, to beyer hold",,,
11,20011070,,dc,"amazon.com, inc. (amzn) [st] filing status: new subholding of: charles schwab investment account - dc1",p,01/02/2019,,"$1,001 - $15,000",,st,amzn
12,20011070,,dc,apple inc. (aapl) [st],p,01/02/2019,,"$1,001 - $15,000",,st,aapl
13,20011070,,dc,"sonos, inc. (sono) [st] filing status: new subholding of: charles schwab investment account - dc1",p,01/02/2019,,"$1,001 - $15,000",,st,sono
14,20011070,,dc,walt disney company (dis) [st],p,01/02/2019,,"$1,001 - $15,000",,st,dis
15,20011070,,dc,walt disney company (dis) [st] filing status: new subholding of: charles schwab investment account - dc3,p,01/02/2019,,"$1,001 - $15,000",,st,dis
16,20010974,,,"altria group, inc. (mo) [st] filing status: new",p,12/17/2018,,"$100,001 - $250,000",,st,mo
17,20011134,,sp,fedex corporation (fdx) [st] filing status: new,p,01/22/2019,,"$1,001 - $15,000",,st,fdx
18,20011017,,sp,apple inc. (aapl) [st] filing status: new,p,12/11/2018,,"$1,001 - $15,000",,st,aapl
19,20011017,,sp,"coherent, inc. (cohr) [st]",p,01/04/2019,,"$1,001 - $15,000",,st,cohr
20,20011017,,sp,u.s. bancorp (usb) [st] filing status: new,p,12/11/2018,,"$1,001 - $15,000",,st,usb
21,20011017,,sp,vodafone group plc - american depositary shares each representing ten ordinary shares (vod) [st],s,12/18/2018,,"$1,001 - $15,000",,st,vod
22,20011017,,sp,weyerhaeuser company (wy) [st] filing status: new,p,01/02/2019,,"$1,001 - $15,000",,st,wy
23,20011312,,sp,northwest natural holding company (nwn) [st] filing status: new,p,02/15/2019,,"$1,001 - $15,000",,st,nwn
24,20011632,,sp,apple inc. (aapl) [st] filing status: new,s,04/25/2019,,"$1,001 - $15,000",,st,aapl
25,20011632,,sp,"goldman sachs group, inc. (gs) [st] filing status: new",p,04/05/2019,,"$1,001 - $15,000",,st,gs
26,20011632,,sp,keycorp (key) [st],p,04/05/2019,,"$1,001 - $15,000",,st,key
27,20011632,,sp,loews corporation (l) [st] filing status: new,s,04/01/2019,,"$1,001 - $15,000",,st,l
28,20011632,,sp,mckesson corporation (mck) [st],p,04/05/2019,,"$1,001 - $15,000",,st,mck
29,20011632,,sp,newell brands inc. (nwl) [st] filing status: new,s,04/25/2019,,"$1,001 - $15,000",,st,nwl
30,20011632,,sp,walt disney company (dis) [st],p,04/05/2019,,"$1,001 - $15,000",,st,dis
31,20011929,,sp,kroger company (kr) [st] filing status: new,p,06/26/2019,,"$1,001 - $15,000",,st,kr
32,20011455,,sp,amdocs limited - ordinary shares (dox) [st] filing status: new,s,03/20/2019,,"$1,001 - $15,000",,st,dox
33,20011455,,sp,ciena corporation (cien) [st],s,03/13/2019,,"$1,001 - $15,000",,st,cien
34,20011455,,sp,hp inc. (hpq) [st] filing status: new,p,03/13/2019,,"$1,001 - $15,000",,st,hpq
35,20011455,,sp,"pfizer, inc. (pfe) [st]",s,03/13/2019,,"$1,001 - $15,000",,st,pfe
36,20011790,,sp,northwest natural holding company (nwn) [st] filing status: new description: dividend reinvestment,p,05/15/2019,,"$1,001 - $15,000",,st,nwn
37,20012114,,sp,danone sponsored adr (danoy) [st] filing status: new,p,06/27/2019,,"$1,001 - $15,000",,st,danoy
38,20011791,,sp,"extended stay america, inc. - paired shares (stay) [st]",p,05/07/2019,,"$1,001 - $15,000",,st,stay
39,20011791,,sp,methanex corporation (meoh) [st],p,05/09/2019,,"$1,001 - $15,000",,st,meoh
