,document_id,last,first,state_dst,year,filing_date
0,20019561,Allen,Richard W.,GA12,2021,2021-10-20
1,20019775,Allen,Richard W.,GA12,2021,2021-11-08
2,20019774,Allen,Richard W.,GA12,2021,2021-11-08
3,20018703,Allen,Richard W.,GA12,2021,2021-05-09
4,20019653,Allen,Richard W.,GA12,2021,2021-11-08
5,20018530,Allen,Richard W.,GA12,2021,2021-04-06
6,20018906,Allen,Richard W.,GA12,2021,2021-06-12
7,20019790,Allen,Richard W.,GA12,2021,2021-11-10
8,20018393,Allen,Richard W.,GA12,2021,2021-03-14
9,20018021,Allen,Richard W.,GA12,2021,2021-01-13
10,20018018,Banks,James E Hon,IN03,2021,2021-01-13
11,20019685,Axne,Cindy,IA03,2021,2021-11-05
12,20018903,Banks,James E Hon,IN03,2021,2021-06-11
13,20019063,Banks,James E Hon,IN03,2021,2021-07-10
14,20018763,Banks,James E Hon,IN03,2021,2021-05-18
15,20019099,Banks,James E Hon,IN03,2021,2021-07-16
16,20019824,Axne,Cindy,IA03,2021,2021-12-07
17,20019642,Banks,James E Hon,IN03,2021,2021-10-17
18,20019484,Banks,James E Hon,IN03,2021,2021-09-14
19,20019793,Banks,James E Hon,IN03,2021,2021-11-10
20,20020002,Banks,James E Hon,IN03,2021,2021-12-13
21,20018597,Beyer,Donald Sternoff Honorable,VA08,2021,2021-05-01
22,20018292,Beyer,Donald Sternoff Honorable,VA08,2021,2021-02-27
23,20017909,Beyer,Donald Sternoff Honorable,VA08,2021,2021-01-01
24,20018752,Beyer,Donald Sternoff Honorable,VA08,2021,2021-06-07
25,20018431,Beyer,Donald Sternoff Honorable,VA08,2021,2021-04-01
26,20018096,Beyer,Donald Sternoff Honorable,VA08,2021,2021-01-31
27,20019022,Beyer,Donald Sternoff Honorable,VA08,2021,2021-07-04
28,20019110,Beyer,Donald Sternoff Honorable,VA08,2021,2021-08-07
29,20019339,Beyer,Donald Sternoff Honorable,VA08,2021,2021-09-02
30,20019292,Bice,Stephanie,OK05,2021,2021-08-12
31,20019648,Beyer,Donald Sternoff Honorable,VA08,2021,2021-10-30
32,20019506,Beyer,Donald Sternoff Honorable,VA08,2021,2021-10-01
33,20019895,Beyer,Donald Sternoff Honorable,VA08,2021,2021-12-02
34,20018321,Blumenauer,Earl,OR03,2021,2021-03-03
35,20017979,Blumenauer,Earl,OR03,2021,2021-01-06
36,20018338,Blumenauer,Earl,OR03,2021,2021-03-05
37,20018142,Blumenauer,Earl,OR03,2021,2021-02-03
38,20018506,Blumenauer,Earl,OR03,2021,2021-04-02
39,20018819,Blumenauer,Earl,OR03,2021,2021-05-28
40,20018812,Blumenauer,Earl,OR03,2021,2021-05-27
41,20019026,Blumenauer,Earl,OR03,2021,2021-07-05
42,20019221,Blumenauer,Earl,OR03,2021,2021-08-02
43,20019530,Axne,Cindy,IA03,2021,2021-10-08
44,20018890,Blumenauer,Earl,OR03,2021,2021-06-09
45,20018685,Blumenauer,Earl,OR03,2021,2021-05-04
46,20019364,Blumenauer,Earl,OR03,2021,2021-08-20
47,20019438,Blumenauer,Earl,OR03,2021,2021-09-07
48,20019619,Blumenauer,Earl,OR03,2021,2021-10-12
49,20019771,Blumenauer,Earl,OR03,2021,2021-11-07
50,20019580,Blumenauer,Earl,OR03,2021,2021-10-05
51,20019869,Blumenauer,Earl,OR03,2021,2021-11-22
52,20018223,Brooks,Mo,AL05,2021,2021-02-16
53,20019979,Blumenauer,Earl,OR03,2021,2021-12-08
54,20019618,Blumenauer,Earl,OR03,2021,2021-10-12
55,20018605,Brooks,Mo,AL05,2021,2021-04-20
56,20018204,Brooks,Mo,AL05,2021,2021-02-12
57,20018077,Brooks,Mo,AL05,2021,2021-01-26
58,20018822,Brooks,Mo,AL05,2021,2021-05-28
59,20019066,Brooks,Mo,AL05,2021,2021-07-10
60,20018041,Buchanan,Vern,FL16,2021,2021-01-18
61,20018648,Buchanan,Vern,FL16,2021,2021-04-28
62,20019626,Brooks,Mo,AL05,2021,2021-10-14
63,20019249,Brooks,Mo,AL05,2021,2021-08-06
64,20018280,Buchanan,Vern,FL16,2021,2021-02-25
65,20018836,Buchanan,Vern,FL16,2021,2021-06-02
66,20019641,Buck,Kenneth R.,CO04,2021,2021-10-17
67,20019269,Buchanan,Vern,FL16,2021,2021-08-09
68,20019844,Burgess,Michael C.,TX26,2021,2021-11-17
69,20019726,Bucshon,Larry,IN08,2021,2021-11-01
70,20019152,Case,Ed,HI01,2021,2021-07-25
71,20019001,Bustos,Cheri,IL17,2021,2021-08-03
72,20018726,Carter,Earl Leroy,GA01,2021,2021-05-12
73,20018712,Carter,Earl Leroy,GA01,2021,2021-05-10
74,20018237,Castor,Kathy,FL14,2021,2021-02-18
75,20019995,Burgess,Michael C.,TX26,2021,2021-12-31
76,20017966,Castor,Kathy,FL14,2021,2021-01-04
77,20018921,Castor,Kathy,FL14,2021,2021-06-14
78,20018706,Case,Ed,HI01,2021,2021-05-09
79,20018576,Castor,Kathy,FL14,2021,2021-04-14
80,20019640,Cawthorn,David Madison,NC11,2021,2021-10-17
