,document_id,last,first,state_dst,year,filing_date
0,8219414,Burlison,Eric,MO07,2023,2023-03-01
1,8219430,Cole,Tom,OK04,2023,2023-03-07
2,8219893,Cole,Tom,OK04,2023,2023-08-10
3,8220049,Fleischmann,"Charles J. ""Chuck""",TN03,2023,2023-11-17
4,8219359,Fleischmann,"Charles J. ""Chuck""",TN03,2023,2023-02-13
5,8219919,Fleischmann,"Charles J. ""Chuck""",TN03,2023,2023-08-14
6,8219527,Fleischmann,"Charles J. ""Chuck""",TN03,2023,2023-05-09
7,8219412,Harshbarger,Diana,TN01,2023,2023-03-02
8,8219483,Henriquez,Ada Norah,PR00,2023,2023-05-02
9,8219383,Kelly,Mike,PA16,2023,2023-02-15
10,8219843,Kelly,Mike,PA16,2023,2023-07-18
11,8219420,Kelly,Mike,PA16,2023,2023-03-06
12,8219455,Kelly,Mike,PA16,2023,2023-04-12
13,8219353,Khanna,Rohit,CA17,2023,2023-02-07
14,8219521,Khanna,Rohit,CA17,2023,2023-05-08
15,8219417,Khanna,Rohit,CA17,2023,2023-03-03
16,8219444,Khanna,Rohit,CA17,2023,2023-04-07
17,8219992,Khanna,Rohit,CA17,2023,2023-10-06
18,8219783,Khanna,Rohit,CA17,2023,2023-06-12
19,8219339,Kustoff,David,TN08,2023,2023-01-24
20,8219953,Khanna,Rohit,CA17,2023,2023-09-06
21,8220067,Khanna,Rohit,CA17,2023,2023-12-06
22,8220092,Khanna,Rohit,CA17,2023,2024-01-04
23,8219415,Kustoff,David,TN08,2023,2023-03-07
24,8220060,Kustoff,David,TN08,2023,2023-11-30
25,8219485,Lamborn,Doug,CO05,2023,2023-04-26
26,8220037,Kustoff,David,TN08,2023,2023-11-08
27,8219808,Lamborn,Doug,CO05,2023,2023-06-23
28,8219944,Lamborn,Doug,CO05,2023,2023-08-29
29,8220068,Lamborn,Doug,CO05,2023,2023-12-06
30,8219834,Lamborn,Doug,CO05,2023,2023-07-13
31,8219826,Khanna,Rohit,CA17,2023,2023-07-11
32,8219876,Khanna,Rohit,CA17,2023,2023-08-07
33,8220039,Khanna,Rohit,CA17,2023,2023-11-08
34,8219742,Lee,Laurel Mrs,FL15,2023,2023-06-01
35,8220100,Luetkemeyer,Blaine,MO03,2023,2024-01-10
36,8219904,Malliotakis,Nicole,NY11,2023,2023-08-11
37,8219436,Malliotakis,Nicole,NY11,2023,2023-03-23
38,8219352,Malliotakis,Nicole,NY11,2023,2023-02-07
39,8219905,Malliotakis,Nicole,NY11,2023,2023-08-11
40,20020981,Lynch,Stephen F.,MA08,2023,2023-05-03
41,8219384,McCaul,Michael T.,TX10,2023,2023-02-15
42,8219469,McCaul,Michael T.,TX10,2023,2023-04-19
43,8219432,McCaul,Michael T.,TX10,2023,2023-03-14
44,8219522,McCaul,Michael T.,TX10,2023,2023-05-12
45,8219845,McCaul,Michael T.,TX10,2023,2023-07-19
46,8219921,McCaul,Michael T.,TX10,2023,2023-08-16
47,8219799,McCaul,Michael T.,TX10,2023,2023-06-22
48,8219971,McCaul,Michael T.,TX10,2023,2023-09-14
49,8220078,McCaul,Michael T.,TX10,2023,2023-12-09
50,8220010,McCaul,Michael T.,TX10,2023,2023-10-18
51,8220106,McCaul,Michael T.,TX10,2023,2024-01-12
52,8220046,McCaul,Michael T.,TX10,2023,2023-11-13
53,8219356,Miller,Max,OH07,2023,2023-02-03
54,8219442,Miller,Max,OH07,2023,2023-03-30
55,8219743,Miller,Max,OH07,2023,2023-05-31
56,8219362,Rogers,Harold Dallas,KY05,2023,2023-02-08
57,8219422,Rogers,Harold Dallas,KY05,2023,2023-03-09
58,8219447,Rogers,Harold Dallas,KY05,2023,2023-04-06
59,8219748,Rogers,Harold Dallas,KY05,2023,2023-06-09
60,8219854,Rogers,Harold Dallas,KY05,2023,2023-07-19
61,8219525,Rogers,Harold Dallas,KY05,2023,2023-05-11
62,8219972,Rogers,Harold Dallas,KY05,2023,2023-09-20
63,8220023,Rogers,Harold Dallas,KY05,2023,2023-10-26
64,8220051,Rogers,Harold Dallas,KY05,2023,2023-11-17
65,8220079,Rogers,Harold Dallas,KY05,2023,2023-12-15
66,8219922,Rogers,Harold Dallas,KY05,2023,2023-08-17
67,8219524,Sarbanes,John P.,MD03,2023,2023-05-10
68,8219470,Wagner,Ann,MO02,2023,2023-04-21
69,8219959,Wagner,Ann,MO02,2023,2023-09-08
70,8219814,Wagner,Ann,MO02,2023,2023-07-06
71,8219425,Wagner,Ann,MO02,2023,2023-03-15
72,8220074,Wagner,Ann,MO02,2023,2023-12-11
